2.0,1.2565,2.3457,nan,nan,nan,nan,-1.1942,-1.4665,-0.9219299999999999,nan,-0.64963,nan,nan,-1.7388,nan,-1.7388,nan,-0.64963,nan,nan,-0.10503,nan,nan,nan,0.71187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.37733,nan,nan,nan,nan,nan,nan,nan,0.71187,-0.10503,nan,-0.64963,nan,nan,-0.10503,-0.64963,-1.1942,nan,nan,nan,nan,nan,nan,nan,0.43956999999999996,nan,nan,0.16727,nan,nan,nan,nan,nan,1.5288
2.0,0.99364,nan,nan,nan,nan,nan,nan,nan,nan,-0.49987,-0.92658,nan,nan,nan,nan,-1.78,nan,nan,nan,nan,nan,nan,0.78028,nan,nan,nan,nan,nan,0.56692,nan,nan,nan,0.35356,0.14021,nan,nan,0.14021,nan,0.56692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.71322,nan,nan,nan,-1.3533,nan,-0.49987,nan,nan,nan,nan,0.14021,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0,-0.060775,nan,nan,nan,1.9246,0.50646,nan,nan,nan,0.22284,nan,nan,nan,nan,nan,nan,nan,-0.34439000000000003,nan,nan,nan,nan,nan,nan,nan,0.79008,nan,nan,nan,nan,nan,nan,nan,0.22284,nan,0.22284,nan,-0.060775,nan,nan,0.79008,nan,nan,nan,nan,nan,nan,nan,-0.34439000000000003,0.50646,nan,nan,nan,nan,nan,nan,nan,0.79008,nan,nan,-0.060775,nan,nan,-0.34439000000000003,nan,nan,nan,nan,nan,-0.34439000000000003
2.0,0.61165,nan,nan,nan,nan,1.7879,nan,nan,nan,nan,-1.2703,nan,nan,nan,nan,nan,-1.0351,-0.79984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14115,nan,0.14115,0.3764,0.14115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.5646,nan,nan,-0.79984,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3764,nan,nan,0.14115,-0.094099,nan,nan,-0.5646,nan,nan,nan
2.0,0.6445,1.2038,nan,nan,2.1359,nan,nan,-0.6604800000000001,nan,nan,nan,-0.8469,nan,nan,nan,nan,-1.2198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08522300000000001,0.08522300000000001,0.27165,0.08522300000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.6604800000000001,-0.6604800000000001,nan,nan,nan,nan,nan,nan,0.45807,0.27165,nan,nan,0.08522300000000001,nan,nan,nan,-0.1012,nan,nan,nan
1.0,0.8053,nan,nan,1.8377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.6401100000000001,nan,nan,nan,0.39233,0.8053,0.39233,nan,nan,nan,nan,0.39233,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8053,nan,nan,nan,-0.020649,nan,1.8377,nan,nan,nan,nan,nan,-0.43362,0.18584,-0.22714,nan,nan,-2.0855,nan,nan,nan,nan,-0.22714,nan,0.39233,nan,nan,1.0118,nan,0.59882,0.59882,0.39233,0.39233
2.0,1.2042,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0843,nan,nan,nan,nan,nan,-1.0843,nan,nan,-0.32149,nan,nan,nan,nan,nan,0.44137,nan,nan,0.25065,nan,nan,0.44137,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5856,nan,nan,nan,nan,-1.0843,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.059938,nan,nan,nan,0.059938,nan,nan
2.0,1.1821,nan,nan,nan,0.96773,nan,nan,nan,nan,nan,-0.9616,nan,nan,nan,nan,-1.3903,nan,nan,nan,nan,nan,0.32461999999999996,nan,nan,nan,nan,0.53899,nan,0.11025,0.11025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0396,nan,nan,-0.31849,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.75336,0.53899,nan,nan,nan,nan,nan,nan,nan
2.0,1.3424,nan,nan,nan,nan,0.25606,-0.6492,nan,nan,-1.3734,-1.0113,nan,nan,nan,nan,nan,nan,nan,-0.6492,-0.28709,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.25606,0.25606,nan,nan,nan,nan,nan,nan,0.25606,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.1923,nan,nan,nan,nan,nan,-1.7355,nan,nan,nan,nan,0.43711000000000005,0.43711000000000005,nan,0.61816,nan,0.43711000000000005,nan,0.25606,nan,nan,nan,nan
2.0,0.9305399999999999,nan,2.4572,2.4572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.3595,-1.105,nan,nan,nan,nan,nan,nan,0.42165,nan,0.67609,nan,nan,nan,nan,nan,nan,nan,0.16721,nan,nan,nan,nan,nan,-0.34168000000000004,nan,1.185,1.9483,2.4572,nan,nan,nan,-1.105,nan,-0.59613,nan,nan,nan,nan,nan,-1.3595,nan,nan,nan,nan,nan,0.42165,0.9305399999999999,0.67609,0.67609,nan,nan,nan,nan,nan,nan
