2.0,0.98403,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.67081,nan,0.73346,nan,nan,nan,-0.70736,nan,nan,nan,nan,nan,nan,nan
1.0,-0.7105199999999999,nan,nan,nan,nan,nan,nan,nan,0.92853,nan,nan,nan,nan,nan,nan,nan,-0.20619,0.61333,nan,nan,nan,nan,nan,nan
1.0,-0.9930100000000001,nan,nan,-1.6054,nan,nan,nan,nan,0.71658,nan,1.1248,nan,nan,nan,nan,0.56348,0.61452,nan,0.25729,nan,nan,0.69107,nan,nan
2.0,1.3191,0.56977,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.08585599999999999,nan,nan,-0.55416,nan,nan,-0.74149,nan,nan,0.47611000000000003,nan,nan,nan
2.0,-0.8124399999999999,nan,nan,nan,nan,nan,nan,nan,0.65427,1.0569,1.3445,1.2007,nan,nan,nan,nan,nan,0.68303,0.62551,nan,nan,nan,nan,nan
1.0,-0.9728399999999999,nan,nan,nan,-1.6202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0,0.36741999999999997,-0.27781,nan,nan,nan,nan,-1.1381,-0.60042,nan,nan,nan,nan,0.52873,0.098577,nan,nan,nan,nan,nan,nan,nan,2.088,nan,nan
2.0,0.087213,nan,nan,-1.3933,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.3212,nan,nan,nan
1.0,-1.0991,nan,nan,nan,nan,-1.4309,nan,nan,nan,nan,nan,0.9101299999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.5645100000000001
1.0,-1.1499,nan,-1.4893,nan,nan,nan,nan,nan,nan,nan,nan,1.0467,nan,0.50754,nan,0.62735,0.68726,nan,nan,nan,nan,nan,nan,nan
2.0,-0.7562399999999999,-1.1884,nan,nan,nan,nan,nan,nan,nan,1.2011,1.2773,nan,nan,0.84521,nan,nan,nan,nan,nan,nan,nan,nan,0.057195,nan
2.0,-0.50952,-1.2396,nan,nan,-1.6046,-1.1483,nan,nan,-0.14449,0.9505899999999999,nan,1.4981,nan,nan,0.49431,nan,nan,nan,nan,nan,-0.69203,nan,nan,nan
1.0,-1.0048,nan,nan,nan,nan,nan,-1.0802,nan,nan,nan,nan,0.8792200000000001,0.72849,nan,nan,0.65313,nan,nan,0.22608000000000003,nan,0.77873,nan,nan,-0.67825
1.0,-0.9748700000000001,nan,-1.5490000000000002,nan,nan,nan,nan,nan,0.68608,1.0347,nan,nan,nan,nan,nan,nan,nan,1.3012,nan,nan,nan,0.52204,nan,nan
2.0,-0.87492,nan,nan,nan,-1.6836,nan,nan,nan,0.51937,nan,nan,nan,0.88189,nan,nan,nan,nan,0.49149,nan,0.35206,nan,nan,nan,nan
1.0,-0.9643200000000001,nan,nan,nan,nan,nan,-0.9643200000000001,nan,0.65363,nan,nan,nan,nan,0.37225,nan,0.55984,nan,0.39569,nan,1.4040000000000001,0.88812,nan,0.067415,nan
2.0,0.83967,nan,nan,nan,nan,-0.88765,nan,nan,nan,nan,nan,0.66694,0.83967,0.14874,nan,-0.31188,-0.54219,nan,-0.023991,0.37905,nan,nan,1.7033,nan
1.0,-0.5855199999999999,-0.8197200000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0,-0.25806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6887,nan,nan,nan,-0.25806,nan,nan,nan,nan,1.3593,0.84649,nan
2.0,-0.8695799999999999,nan,-1.4181,nan,nan,nan,-1.5552,nan,nan,nan,1.2147,nan,nan,nan,nan,nan,0.8033100000000001,nan,nan,nan,0.090272,nan,nan,nan
1.0,-1.0707,-1.314,nan,nan,nan,nan,nan,nan,0.46398999999999996,nan,nan,nan,nan,nan,0.4827,nan,0.6511399999999999,nan,1.0816,nan,nan,nan,nan,nan
1.0,-1.042,nan,nan,nan,nan,nan,-1.0995,nan,0.77988,nan,nan,nan,0.85659,0.49222,nan,nan,0.70317,nan,nan,nan,nan,nan,nan,nan
2.0,-0.81287,-1.1727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1663,nan,nan,0.70363,0.67793,nan,nan,nan,0.0096387,nan,nan,nan
1.0,-1.0945,nan,-1.6061,nan,nan,nan,nan,0.26227,nan,nan,nan,nan,0.77384,nan,nan,nan,nan,0.35124,nan,nan,nan,nan,nan,-0.33826
1.0,-0.83894,nan,nan,nan,-1.713,nan,nan,-0.43313,nan,nan,nan,nan,nan,nan,0.097551,nan,nan,nan,nan,nan,nan,nan,nan,nan
