13.0,2.0218,nan,nan,nan,1.4286,nan,nan,nan,0.79535,nan,nan,nan,0.25113,nan,-0.007722,-0.11717000000000001,-0.24934,nan,nan,nan,-0.5727300000000001,nan,-0.67553,nan,nan,-0.75779,-0.7490600000000001,nan,nan,nan,nan,-0.8565299999999999,nan,-1.0114,nan,nan,nan,nan,-1.4634,-1.5367,-1.5494,-1.5367,nan,-1.2874,-1.133,-0.95073,nan,-0.63695,nan,nan,-0.1409,nan,0.19762000000000002,nan,nan,nan,nan,1.0032,nan,nan,1.4995,1.6835,nan,1.9947,1.9421,nan,nan,nan,nan,nan,nan,nan,nan,0.46635,0.31051,nan,nan,nan,nan,nan,nan,-0.8389,-0.9944299999999999,-1.1721,nan,nan,nan,nan,-1.3654,nan,nan,-1.1106,nan,-0.83662,nan,-0.63815,nan,nan,-0.42213999999999996,nan,nan,nan,nan,nan,-0.27802,nan,nan,nan,-0.21066999999999997,nan,nan,nan,nan,-0.0060319,0.10082,nan,0.29854,0.43181,nan,nan,nan,nan,1.0869,nan,1.4471,nan,1.8151,nan
4.0,1.5247,1.5381,1.4108,nan,1.0395,nan,0.6642600000000001,0.4898,nan,nan,nan,0.028986,0.16621,0.26063000000000003,nan,nan,nan,-0.23025,nan,nan,-0.9189299999999999,nan,nan,nan,-0.77625,nan,nan,-0.35481,nan,nan,nan,nan,-0.68114,-0.8856299999999999,-0.99364,nan,-1.301,nan,nan,nan,-1.3026,-1.0764,-0.8770600000000001,-0.6390600000000001,nan,nan,-0.41994,-0.3843,nan,-0.31894,-0.30538000000000004,-0.2223,nan,0.18202000000000002,nan,0.55537,0.76608,0.95181,nan,1.3646,nan,nan,nan,nan,2.3014,nan,2.2055,nan,1.7771,nan,1.3841,nan,nan,nan,nan,0.47711000000000003,nan,nan,-0.057679999999999995,-0.29773,-0.5002300000000001,-0.66685,nan,-0.8465299999999999,nan,-0.99664,-1.0872,nan,-1.4955,-1.6914,-1.8940000000000001,-1.8456,nan,nan,nan,nan,-1.0682,nan,nan,nan,nan,-0.22503,-0.12119,nan,0.07610900000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.36218,nan,nan,0.95521,1.0968,1.3253,nan
11.0,2.2149,nan,1.8423,nan,1.4326,1.2854,nan,nan,nan,0.7124199999999999,0.61115,nan,0.26247,0.12262,nan,nan,nan,nan,nan,-0.59104,nan,-0.60218,nan,-0.69272,-0.7141,nan,-0.80281,nan,-0.9702799999999999,-1.021,-1.0577,-1.08,-1.0874,-1.08,-1.1085,nan,nan,nan,nan,-1.0388,nan,nan,-0.8923700000000001,-0.78884,-0.7087399999999999,-0.64552,-0.53587,nan,nan,nan,nan,nan,nan,nan,nan,0.46886000000000005,0.50815,nan,0.9176200000000001,1.0709,nan,nan,nan,nan,nan,nan,1.8472,1.6445,nan,nan,nan,nan,0.6622100000000001,nan,0.43317,nan,nan,nan,-0.076583,nan,-0.30569,nan,-0.5637300000000001,nan,nan,nan,-0.93063,-0.9842200000000001,-1.0205,nan,nan,nan,nan,-1.1213,nan,-1.08,nan,nan,nan,-1.0711,nan,nan,nan,-0.9028700000000001,nan,-0.8194,nan,nan,-0.57004,-0.48582,nan,-0.27944,nan,nan,nan,0.068284,0.24631999999999998,nan,0.598,0.7124199999999999,nan,nan,nan,nan,1.5418,1.7536,nan,nan
13.0,1.8719999999999999,nan,nan,1.3969,1.2522,1.0838,0.9553799999999999,nan,nan,0.55192,0.42048,nan,nan,nan,nan,0.076636,nan,nan,-0.026394,nan,nan,-0.17855,-0.18156,nan,nan,nan,nan,nan,-0.49846999999999997,nan,-0.70344,-0.8427100000000001,-1.0114,nan,-1.2997,nan,nan,nan,nan,nan,nan,-1.6925,nan,nan,nan,nan,-0.89894,nan,nan,nan,nan,nan,nan,0.30286,nan,nan,nan,nan,nan,1.3419999999999999,nan,nan,nan,nan,nan,1.7416,nan,nan,nan,nan,nan,0.72719,0.5431600000000001,nan,0.20579,nan,-0.13210999999999998,nan,-0.46952,nan,nan,-0.9867799999999999,nan,nan,-1.4629,nan,-1.6354,-1.6336,nan,-1.5103,nan,-1.2524,-1.1443,nan,-0.82867,nan,-0.5615399999999999,nan,nan,nan,-0.17084000000000002,nan,-0.006773100000000001,nan,nan,-0.031544,nan,0.028394,nan,nan,nan,nan,nan,nan,0.20253,nan,0.34112,0.40694,nan,nan,0.73147,0.86544,nan,1.1581,nan,nan,nan,nan
4.0,1.7309999999999999,nan,nan,1.3872,nan,nan,0.7330300000000001,0.55974,nan,1.0373,0.99211,0.85036,0.6432899999999999,0.44756999999999997,nan,nan,-0.27144,-0.58421,nan,-0.31483,-0.11402000000000001,nan,nan,nan,nan,-0.44916000000000006,nan,-0.88531,-1.0571,nan,-1.4773,nan,nan,nan,-1.4629,nan,nan,-0.7875300000000001,nan,nan,nan,-0.60821,nan,nan,-0.58973,nan,nan,-0.33079000000000003,nan,nan,nan,0.52854,nan,0.9789,1.1951,nan,1.584,1.8049,nan,nan,nan,nan,1.7706,1.6291,1.4602,1.2502,1.0392,0.86516,0.6511,nan,nan,nan,-0.076739,nan,0.11400999999999999,nan,nan,nan,nan,-0.084642,nan,-0.50689,-0.70903,nan,-1.0261,-1.1759,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0337,-1.2987,nan,nan,nan,-1.5425,nan,nan,nan,nan,nan,-0.18043,nan,nan,nan,0.57822,nan,nan,0.14095,-0.14345,-0.32936,nan,0.10222,0.31706,nan,nan,nan,1.2177,nan,nan,nan
13.0,1.8427,nan,1.5936,nan,1.2684,1.1187,nan,nan,nan,0.58458,nan,nan,nan,nan,0.12437999999999999,0.052315999999999994,nan,-0.020425,-0.090201,nan,nan,-0.19517,-0.18231,nan,nan,-0.28943,nan,nan,-0.44503000000000004,nan,nan,nan,-0.83972,-0.9146299999999999,-1.0607,nan,nan,nan,nan,nan,-1.5917,nan,nan,nan,nan,-0.9865200000000001,nan,nan,-0.50439,nan,-0.19508,nan,0.11523,0.28998,nan,nan,0.7574,0.91412,nan,1.2477,1.4051,nan,1.7206,nan,nan,nan,nan,1.5978,nan,nan,1.0994,0.94152,nan,0.6263,nan,nan,0.13790999999999998,nan,-0.17445,-0.33003000000000005,nan,-0.6602100000000001,nan,-0.97041,nan,-1.2803,-1.4547,-1.6079,nan,nan,-1.6840000000000002,-1.6015,nan,-1.3692,nan,-1.1272,nan,-0.8135,nan,nan,-0.56907,-0.4402,nan,nan,nan,-0.34289000000000003,nan,nan,nan,-0.18675999999999998,nan,-0.091086,nan,nan,0.14406,nan,0.32184,0.41658,nan,nan,nan,0.89584,nan,1.1884,1.3384,nan,nan,1.8226
8.0,1.2674,nan,1.1556,1.054,1.0248,1.0369,0.9918299999999999,nan,nan,nan,0.8253799999999999,0.81067,nan,0.76046,nan,0.7790600000000001,nan,0.8094399999999999,0.82949,0.77445,0.7580899999999999,0.77118,nan,nan,0.64465,nan,nan,nan,nan,nan,0.033996,0.03304,nan,nan,nan,-0.59636,-0.78054,-0.92717,-1.0395,nan,nan,nan,nan,nan,nan,-1.7854,-1.6101,nan,nan,-1.0812,-0.88236,-0.6754100000000001,-0.46208,nan,nan,nan,nan,nan,0.93979,nan,nan,nan,nan,1.9204,1.7724,nan,nan,nan,1.1621,nan,0.73633,0.48481,0.2381,nan,-0.22809000000000001,nan,-0.67747,-0.89405,nan,nan,-1.4872,-1.6817,-1.7969,nan,-1.7208,nan,nan,-1.5224,nan,-1.4798,-1.4041,nan,-1.256,nan,nan,nan,-0.98529,-0.79195,nan,nan,nan,nan,-0.27387,nan,-0.12353,-0.15672,-0.10827,nan,-0.07133300000000001,0.038225,nan,nan,0.21481,0.34162,0.34789000000000003,nan,nan,nan,0.59132,nan,nan,0.68258,0.74564,0.75232,0.83183,nan,1.0282,nan
3.0,1.8479,1.693,nan,nan,1.0938,0.8614299999999999,0.66187,0.60133,nan,0.45048999999999995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0587,-1.1423,nan,nan,nan,nan,-1.4469,nan,nan,-1.5141,nan,-1.1876,-1.2668,nan,-1.2558,nan,-1.1583,nan,nan,-0.90909,nan,-0.7645,nan,nan,nan,nan,nan,-0.039356999999999996,nan,nan,nan,nan,nan,nan,nan,nan,1.166,1.3166,nan,nan,1.5729,nan,1.7045,nan,1.6505,nan,nan,nan,nan,nan,nan,nan,0.81978,nan,nan,nan,0.32004,0.17187,0.061949000000000004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0527,-0.99725,-1.0928,nan,nan,-1.0368,nan,nan,nan,nan,-0.9162799999999999,nan,nan,nan,nan,-0.64322,nan,nan,-0.50322,-0.35228000000000004,nan,nan,nan,0.10338,nan,0.38306,0.31914000000000003,nan,nan,0.43308,0.5867100000000001,0.71851,nan,nan,1.0334,nan,nan,nan,1.8251
14.0,1.9726,1.9380000000000002,nan,1.9101,nan,1.6514,nan,nan,1.2418,nan,nan,0.56487,nan,nan,nan,0.07331599999999999,nan,-0.58843,nan,-0.23344,nan,nan,nan,nan,-0.7710199999999999,-0.76568,-0.8214100000000001,-1.0962,nan,nan,-0.93771,-0.90599,nan,-1.0451,-1.1686,-1.2918,-1.3439,-1.4008,-1.4275,nan,nan,nan,nan,0.1845,0.48202,nan,nan,0.5858300000000001,0.51886,nan,nan,0.2792,0.15442999999999998,nan,-0.030275999999999997,nan,nan,nan,-0.10786,0.22289,0.51402,0.82542,1.1675,1.4595,nan,1.7394,1.4358,nan,0.79304,nan,nan,-0.1758,-0.50098,nan,-0.23793000000000003,nan,nan,-0.086641,nan,-0.031584,-0.046551,nan,0.13427999999999998,0.10081,-0.0049504,nan,-0.5807899999999999,-0.8859799999999999,nan,-1.3899,nan,nan,-1.6335,nan,nan,-1.5263,-1.4219,-1.3754,-1.2525,-1.1788,-1.0573,nan,nan,-1.1412,-0.88323,nan,nan,nan,0.068016,0.17307,nan,nan,nan,nan,-0.0049504,nan,nan,0.8562,1.043,1.0792,nan,1.0051,1.3356,nan,nan,nan,1.7328,nan
8.0,1.2512,1.1732,nan,nan,0.89007,0.7422,nan,nan,nan,0.61954,nan,0.61228,nan,nan,0.5163800000000001,0.5152100000000001,nan,nan,nan,nan,nan,0.1553,nan,nan,nan,-0.051113,nan,-0.36209,-0.49927,-0.6925100000000001,-0.74574,nan,nan,-0.9027200000000001,-1.0483,nan,nan,-1.3692,-1.4546,nan,-1.6834,-1.7556,-1.7262,-1.531,-1.3101,-1.1148,nan,-0.72937,-0.5071,nan,-0.13539,nan,nan,nan,nan,nan,1.0858,nan,1.4917,nan,nan,2.1267,2.1276,1.9582,1.7056,nan,nan,nan,nan,nan,nan,0.23854,nan,-0.1761,nan,nan,nan,-0.97534,-1.1699,nan,-1.5885,nan,nan,-1.7890000000000001,nan,nan,-1.5852,nan,-1.3219999999999998,nan,nan,-1.0483,-0.8922,nan,nan,nan,-0.62765,nan,nan,-0.41648999999999997,nan,-0.008830500000000002,0.084522,nan,nan,nan,0.28148,nan,0.39118,nan,nan,nan,nan,nan,0.58022,nan,0.72952,0.71015,0.8551,nan,nan,nan,0.99661,nan,nan,1.0733,1.1084,nan
