2.0,-0.47718999999999995,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.4082,nan,nan,-0.71768,nan,nan,-0.71768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0036951999999999996,nan,nan,nan,nan,nan,nan,0.0036951999999999996,nan,nan,nan,nan,0.0036951999999999996,nan,nan,-0.47718999999999995,nan,nan,nan,nan,0.96549,2.1677,nan,nan,nan,-0.71768,nan,nan,-0.47718999999999995,nan,nan,nan,nan,nan,nan,0.4846,nan
2.0,-0.77065,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.5334,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.26209,nan,nan,nan,nan,nan,nan,-0.26209,-0.51635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.77065,nan,nan,nan,nan,nan,nan,nan,1.2635,nan,nan,nan,nan,-0.77065,nan,-0.0078248,nan,nan,nan,nan,nan,nan
1.0,-0.6914600000000001,nan,0.28031,nan,nan,nan,0.5232399999999999,nan,0.28031,nan,nan,nan,nan,nan,-2.392,nan,nan,1.252,nan,nan,1.0091,nan,nan,nan,nan,-0.44848999999999994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.1773,nan,0.28031,nan,nan,nan,nan,0.76617,nan,1.9808,nan,-1.906,nan,nan,nan,nan,nan,nan,-0.93429,nan,nan,nan,-0.20556
1.0,0.022305000000000002,nan,nan,nan,nan,nan,nan,0.8278399999999999,0.18342,nan,nan,nan,nan,nan,nan,nan,-0.46103999999999995,nan,nan,nan,nan,nan,nan,-0.29991,nan,0.18342,0.022305000000000002,nan,nan,nan,nan,nan,nan,nan,0.022305000000000002,nan,nan,nan,nan,nan,nan,0.022305000000000002,-0.62208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34453
1.0,0.026081,nan,0.30868,nan,nan,nan,nan,nan,nan,nan,nan,1.1564,nan,nan,nan,nan,-0.2565,nan,nan,nan,-0.2565,nan,nan,nan,nan,nan,0.026081,nan,0.30868,nan,nan,nan,nan,0.026081,nan,nan,nan,nan,-0.2565,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.3868,nan,0.026081,nan,-0.2565,-0.2565,nan,0.30868,nan,nan,nan,nan
2.0,-0.12247000000000001,nan,0.37505,nan,nan,nan,0.1263,-0.12247000000000001,-0.8687799999999999,nan,nan,0.6238100000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.61998,nan,nan,nan,nan,nan,nan,0.37505,nan,nan,nan,nan,nan,nan,-0.12247000000000001,nan,nan,nan,nan,nan,nan,-0.37123,-0.8687799999999999,-0.61998,nan,-0.37123,nan,nan,nan,nan,nan,2.1164,2.1164,1.6188,nan,nan,nan,nan
2.0,-0.335,0.016207,0.016207,nan,nan,nan,0.71863,nan,nan,-0.335,nan,nan,1.0698,nan,nan,nan,nan,nan,nan,-0.6862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.335,0.016207,nan,0.016207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.5283,2.1234,nan,nan,-1.7398,-1.0375,nan,nan,nan,nan,nan,nan,nan,0.71863,nan
2.0,-0.19349,nan,nan,nan,nan,1.3157,nan,nan,-1.7028,nan,nan,nan,0.81266,nan,nan,nan,-0.9480299999999999,-0.6966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.19349,nan,nan,nan,-0.19349,nan,nan,nan,nan,nan,nan,-0.19349,nan,nan,nan,1.5673,nan,nan,-1.4512,nan,-1.1996,nan,nan,nan,nan,-0.19349,nan,nan,0.30959000000000003,nan
2.0,-0.82536,nan,nan,nan,nan,nan,nan,nan,-1.6549,nan,nan,nan,2.2164,0.5573100000000001,nan,nan,nan,-1.1018,nan,-0.54879,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0042513,nan,nan,nan,nan,-0.27226999999999996,nan,nan,nan,nan,nan,nan,nan,nan,-0.54879,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0,-0.17112,nan,nan,nan,0.020648,nan,nan,0.020648,nan,-0.36289,nan,nan,nan,nan,nan,nan,-2.0888,nan,nan,nan,nan,nan,nan,nan,0.020648,nan,nan,nan,nan,nan,-0.5547,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.020648,0.020648,nan,0.020648,nan,0.020648,nan,-0.17112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.7053,-2.2806,nan
