25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.93667,nan,0.72907,nan,0.52601,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.39552,nan,-0.53867,nan,nan,-0.75084,nan,nan,nan,nan,nan,nan,nan,-1.1376,nan,nan,nan,nan,nan,nan,-1.2391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.95294,nan,nan,nan,nan,nan,nan,-0.48644,nan,nan,-0.24201,-0.15278,nan,nan,0.12712,0.22606,nan,nan,nan,nan,nan,nan,nan,nan,1.1409,nan,nan,1.4399,nan,nan,nan,1.7275,nan,nan,1.7268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23343,0.14111,0.05137,nan,nan,nan,nan,nan,-0.47374,nan,-0.61452,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.1361,nan,nan,-1.204,nan,nan,nan,nan,-1.2201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.86315,nan,nan,nan,nan,nan,nan,nan,nan,-0.21999,nan,nan,0.057395,nan,nan,0.35184,nan,nan,nan,nan,0.84245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,nan,nan,nan,nan,nan,1.4343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.7778,-0.84298,-0.9173,nan,-1.055,nan,nan,nan,nan,-1.2816,nan,nan,nan,nan,nan,nan,-1.3571,-1.3296,-1.2937,nan,nan,-1.1742,-1.1142,nan,nan,nan,nan,-0.79017,nan,-0.64284,-0.59163,-0.52139,nan,nan,nan,nan,-0.089113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2424,nan,nan,1.5407,nan,nan,nan,1.6967,nan,nan,nan,nan,nan,1.3769,nan,nan,nan,0.9792,nan,0.77793,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0026,nan,nan,-1.1658,nan,nan,-1.2738,nan,nan,nan,nan,nan,nan,-1.2581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.40868,nan,-0.24745,nan,-0.076913,nan,nan,nan,nan,nan,0.46303,0.55693,0.65097,nan,nan,nan,nan,nan,nan,nan,nan,1.481,nan,1.5642,nan,1.5929
28,nan,nan,1.6189,nan,nan,nan,nan,nan,1.1534,nan,0.98454,0.89942,nan,nan,nan,nan,nan,nan,nan,0.24707,nan,0.081586,nan,-0.086058,nan,-0.24934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.1066,nan,nan,nan,nan,nan,nan,nan,-1.4974,nan,nan,nan,nan,nan,nan,nan,-1.1665,nan,-1.0184,nan,nan,nan,nan,nan,-0.54655,nan,nan,nan,nan,nan,nan,0.028115,0.11219,nan,nan,nan,0.44491,0.52955,nan,nan,nan,0.84826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3287,nan,nan,nan,nan,nan,nan,0.73769,nan,0.56999,0.48525,nan,0.3337,0.24924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.73155,-0.81135,-0.8888,-0.96117,nan,nan,nan,nan,nan,-1.3496,nan,nan,nan,-1.4827,-1.4804,-1.4625,nan,nan,nan,nan,nan,nan,nan,nan,-0.93923,-0.86161,nan,nan,-0.62788,nan,-0.4811,nan,nan,-0.23813,-0.15622,nan,0.011155,0.092161,0.17633,nan,nan,nan,nan,0.59393,nan,0.76012,nan,nan,1.0122,nan,nan,nan,nan,nan,nan,1.6025,1.6702
21,nan,nan,nan,nan,nan,nan,nan,1.2132,nan,nan,nan,0.82783,nan,nan,nan,nan,nan,nan,nan,0.16389,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.65419,nan,nan,nan,nan,nan,-1.0498,-1.0994,nan,nan,nan,nan,nan,-1.3077,-1.3193,nan,nan,nan,nan,nan,nan,nan,nan,-1.0983,nan,-0.98666,nan,-0.87076,nan,nan,-0.64788,nan,nan,nan,nan,nan,nan,-0.090732,-0.0038369,nan,nan,nan,nan,0.42696,nan,nan,nan,nan,nan,0.95328,nan,nan,nan,nan,1.4467,nan,nan,nan,1.7217,nan,1.7135,nan,1.5883,nan,1.4064,nan,nan,nan,nan,0.92826,nan,0.76077,nan,nan,nan,0.42839,nan,nan,0.17447,nan,-0.0010628,-0.087286,-0.17511,nan,-0.34483,nan,nan,nan,nan,nan,nan,nan,-0.98039,nan,nan,nan,nan,nan,nan,nan,-1.3599,nan,nan,-1.3931,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.94463,-0.86823,nan,nan,-0.64076,nan,nan,-0.40269,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.45174,0.53393,0.61327,nan,nan,nan,nan,nan,nan,nan,1.3643,nan,nan,nan,nan,nan
15,nan,nan,1.5731,nan,nan,nan,nan,nan,1.0734,nan,nan,0.81538,nan,nan,nan,nan,0.39967,nan,nan,nan,nan,-0.012764,-0.095129,nan,nan,nan,nan,-0.50568,nan,-0.66519,-0.74481,-0.8207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.4092,nan,nan,nan,nan,nan,nan,nan,nan,-0.86275,-0.78704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18029,nan,nan,nan,nan,nan,0.68883,0.77302,nan,nan,nan,nan,nan,nan,nan,nan,1.5266,nan,1.6973,nan,1.7153,nan,1.5412,1.4539,nan,nan,nan,nan,nan,nan,nan,0.77291,nan,nan,nan,0.45147,nan,nan,nan,nan,nan,-0.045092,nan,-0.21029,-0.2946,nan,nan,-0.52895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.451,nan,nan,nan,nan,-1.2689,nan,nan,nan,nan,nan,nan,-0.7883,nan,nan,nan,nan,-0.39104,nan,nan,nan,nan,nan,0.10512,nan,nan,nan,nan,0.52753,nan,0.68682,0.77244,nan,nan,nan,nan,nan,nan,nan,nan,1.5351,nan,nan,nan
2,nan,1.7612,1.7031,nan,1.4921,nan,1.2448,nan,nan,nan,0.78577,nan,nan,0.50175,nan,nan,nan,nan,nan,nan,-0.074871,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.116,nan,nan,nan,nan,nan,-1.21,nan,nan,-1.1787,nan,nan,nan,nan,nan,nan,nan,nan,-0.81614,nan,nan,nan,nan,nan,nan,nan,nan,-0.20877,nan,nan,nan,nan,0.19936,nan,nan,nan,nan,0.57716,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.7808,nan,nan,1.8003,nan,nan,nan,nan,nan,1.304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10069,nan,nan,nan,-0.25068,nan,nan,nan,nan,-0.66859,nan,-0.79883,nan,nan,-0.97633,nan,nan,nan,nan,nan,nan,nan,-1.3235,nan,nan,nan,nan,nan,-1.2839,nan,nan,nan,nan,-1.1061,nan,nan,nan,-0.9178,nan,nan,nan,nan,nan,nan,nan,-0.32762,nan,-0.16077,-0.075812,0.014266,nan,nan,0.2763,nan,0.45169,nan,0.63435,nan,nan,nan,1.0448,nan,nan,nan,nan,1.6236,nan,nan,nan,nan
18,1.7996,nan,nan,nan,nan,1.4226,1.3113,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.25989,0.16704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.1958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.77737,-0.6992,nan,-0.58216,-0.52849,nan,-0.38382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.99589,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.68992,0.58253,nan,0.38547,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.77574,nan,nan,-0.93895,nan,nan,nan,nan,-1.1526,nan,nan,nan,nan,nan,-1.2619,nan,nan,-1.2358,nan,-1.1819,nan,nan,nan,nan,nan,nan,nan,nan,-0.77607,nan,-0.66034,-0.5859,-0.52556,-0.44134,-0.36331,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.63596,nan,nan,nan,nan,nan,nan,1.3911,nan,1.5714,nan,nan,nan,nan
21,nan,nan,nan,nan,1.4573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10073,0.014955,-0.056353,-0.14476,nan,-0.29855,nan,nan,nan,nan,nan,-0.76188,nan,nan,-0.9636,nan,-1.0708,nan,nan,nan,nan,nan,-1.2934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.88747,nan,-0.74342,nan,nan,nan,nan,-0.3683,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4501,0.5341,nan,nan,nan,nan,0.98481,nan,nan,nan,nan,nan,1.58,nan,nan,nan,nan,nan,nan,nan,1.4816,1.3782,nan,nan,nan,nan,nan,nan,0.70181,0.61776,nan,nan,nan,nan,nan,0.11982,nan,nan,nan,nan,-0.3192,nan,nan,-0.57036,nan,nan,nan,-0.87537,nan,nan,nan,nan,nan,nan,nan,-1.3219,nan,nan,nan,nan,-1.3844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.68604,nan,-0.5229,nan,nan,nan,nan,nan,nan,nan,0.15565,nan,nan,nan,nan,0.58218,nan,0.74994,0.8408,nan,nan,nan,1.2217,nan,nan,nan,1.6163,nan,1.7331,1.7501
36,nan,nan,nan,1.0219,nan,nan,0.75024,nan,nan,0.47413,nan,nan,nan,nan,0.061179,nan,nan,nan,-0.20814,nan,-0.33283,-0.40593,nan,nan,-0.56468,nan,nan,-0.69732,nan,nan,nan,nan,nan,nan,nan,-0.90898,-0.9008,nan,nan,nan,nan,-0.91165,nan,nan,nan,-0.86882,nan,-0.8114,nan,-0.75684,nan,-0.67979,-0.63365,nan,-0.52691,nan,nan,nan,nan,nan,-0.18311,nan,nan,0.04713,nan,nan,nan,nan,0.41797,nan,nan,nan,nan,nan,0.97714,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6883,nan,nan,nan,nan,nan,1.0858,nan,nan,nan,nan,nan,0.48773,nan,nan,nan,nan,nan,nan,-0.18909,nan,nan,nan,nan,-0.66481,-0.75567,nan,nan,nan,-1.0766,-1.1537,nan,-1.2959,nan,nan,nan,nan,nan,nan,nan,nan,-1.6135,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.1917,nan,nan,nan,nan,nan,nan,-0.59329,nan,nan,nan,nan,-0.12459,nan,nan,0.16587,nan,0.36923,nan,nan,nan,nan,0.86562,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.7488,nan,nan,1.6889,nan,nan,nan
11,1.6956,nan,nan,nan,nan,1.3231,nan,nan,nan,nan,nan,nan,0.80547,nan,nan,nan,0.46784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.80206,nan,nan,nan,nan,nan,nan,-1.2524,nan,-1.3453,nan,nan,nan,nan,-1.4108,-1.3886,nan,nan,nan,nan,nan,nan,nan,nan,-0.9409,nan,nan,-0.70789,-0.62585,nan,nan,nan,-0.29171,nan,nan,nan,nan,0.14764,nan,nan,nan,0.51078,nan,nan,nan,nan,nan,nan,nan,1.2347,nan,nan,nan,1.5978,nan,nan,nan,1.7185,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.80396,nan,nan,nan,nan,nan,0.27637,0.18675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0487,nan,nan,nan,nan,-1.3297,nan,nan,nan,nan,nan,-1.3869,nan,-1.3355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.6455,-0.57396,nan,-0.42374,-0.35093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.54694,nan,0.71741,nan,0.88025,0.96301,nan,nan,nan,nan,nan,1.4093,1.5024,1.5951,nan,nan
